Client Username,Client IP Address,Client MAC Address,Association Time,Vendor,AP Name,Radio Type,Device Name,Map Location,SSID,Profile,VLAN ID,Protocol,Session Duration,Policy Type,Avg. Session Throughput(Kbps)
0abc7eb19af6e1fb67f7bcecd15463,10.250.68.130,9573b4baf9efd8a3dcb486648d8ad9,Sat Feb 24 02:55:12 PST 2018,"Apple, Inc.",CV2-9-986-1,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CV2 > 9th floor,SJSU_premier,SJSU_premier,120,802.11n(5GHz),47 min 44 sec,WPA2,137.6
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 23:34:45 PST 2018,Intel Corporate,WSH-326-1815,802.11a/n/ac,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,5 min 13 sec,WPA2,16.3
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 23:39:59 PST 2018,Intel Corporate,WSH-328-1815,802.11a/n/ac,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,15 min 38 sec,WPA2,11.3
0abc7eb19af6e1fb67f7bcecd15463,10.250.68.130,9573b4baf9efd8a3dcb486648d8ad9,Sat Feb 24 01:20:38 PST 2018,"Apple, Inc.",CV2-9-986-1,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CV2 > 9th floor,SJSU_premier,SJSU_premier,120,802.11n(5GHz),1 hrs 29 min 9 sec,WPA2,180.3
0abc7eb19af6e1fb67f7bcecd15463,10.250.68.130,9573b4baf9efd8a3dcb486648d8ad9,Sat Feb 24 03:42:57 PST 2018,"Apple, Inc.",CV2-9-986-1,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CV2 > 9th floor,SJSU_premier,SJSU_premier,120,802.11n(5GHz),23 min 39 sec,WPA2,<0.1
0abc7eb19af6e1fb67f7bcecd15463,10.250.68.130,9573b4baf9efd8a3dcb486648d8ad9,Sat Feb 24 06:10:02 PST 2018,"Apple, Inc.",CV2-9-986-1,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CV2 > 9th floor,SJSU_premier,SJSU_premier,120,802.11n(5GHz),35 min 53 sec,WPA2,"1,450.6"
0abc7eb19af6e1fb67f7bcecd15463,10.250.68.130,9573b4baf9efd8a3dcb486648d8ad9,Sat Feb 24 13:16:43 PST 2018,"Apple, Inc.",CV2-9-986-1,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CV2 > 9th floor,SJSU_premier,SJSU_premier,120,802.11n(5GHz),26 min 6 sec,WPA2,39.8
1687fb3fe6d8415fa33e51b7cbafef,10.250.29.86,165b0a929db89680a52af4e63eaa55,Fri Feb 23 17:21:28 PST 2018,"Apple, Inc.",CVB-11-1122A-2,802.11a/n,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CVB > Floor 11,SJSU_premier,SJSU_premier,120,802.11n(5GHz),2 hrs 2 min 56 sec,WPA2,"1,702.6"
1687fb3fe6d8415fa33e51b7cbafef,10.250.29.86,165b0a929db89680a52af4e63eaa55,Sat Feb 24 11:31:37 PST 2018,"Apple, Inc.",CVB-11-1122A-2,802.11a/n,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CVB > Floor 11,SJSU_premier,SJSU_premier,120,802.11n(5GHz),4 hrs 43 min 31 sec,WPA2,"1,044.8"
a885778e8e808366b669f5c3dfbff7,10.250.41.91,b5266e382b7433bf04b367aecb524c,Fri Feb 23 20:16:16 PST 2018,"Apple, Inc.",CV2-10-1005-1,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CV2 > 10th floor,SJSU_premier,SJSU_premier,120,802.11n(5GHz),5 min 13 sec,WPA2,<0.1
a885778e8e808366b669f5c3dfbff7,10.250.41.91,b5266e382b7433bf04b367aecb524c,Fri Feb 23 20:21:29 PST 2018,"Apple, Inc.",CV2-10-1005-1,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CV2 > 10th floor,SJSU_premier,SJSU_premier,120,802.11n(5GHz),46 min 49 sec,WPA2,928.0
a885778e8e808366b669f5c3dfbff7,10.250.41.91,b5266e382b7433bf04b367aecb524c,Fri Feb 23 21:08:19 PST 2018,"Apple, Inc.",CV2-10-1005-1,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CV2 > 10th floor,SJSU_premier,SJSU_premier,120,802.11n(5GHz),3 hrs 3 min 38 sec,WPA2,"2,950.5"
639c541a71e9d4875da0311268e50b,10.250.241.134,4ddbeceb2538206dac866482c4af59,Fri Feb 23 17:55:10 PST 2018,"Apple, Inc.",JWH-5-505C-1,802.11a/n,SJS-0CC-112-552-WLC-01,Campus Housing > JWH > Floor 5,SJSU_premier,SJSU_premier,120,802.11n(5GHz),15 min 37 sec,WPA2,6.1
a885778e8e808366b669f5c3dfbff7,10.250.41.91,b5266e382b7433bf04b367aecb524c,Sat Feb 24 00:17:45 PST 2018,"Apple, Inc.",CV2-10-1005-1,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CV2 > 10th floor,SJSU_premier,SJSU_premier,120,802.11n(5GHz),5 min 2 sec,WPA2,<0.1
a885778e8e808366b669f5c3dfbff7,10.250.41.91,b5266e382b7433bf04b367aecb524c,Sat Feb 24 01:15:22 PST 2018,"Apple, Inc.",CV2-10-1005-1,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CV2 > 10th floor,SJSU_premier,SJSU_premier,120,802.11n(5GHz),5 min 12 sec,WPA2,<0.1
5a71d24b68ba4ac3602db7d3826265,10.250.138.119,2c24fcdc7fded04d51d408788ab808,Sat Feb 24 10:39:40 PST 2018,"Apple, Inc.",KNG-4-489-H,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-1a,MLKL LIbrary > MLKL > Fourth,SJSU_premier,SJSU_premier,120,802.11n(5GHz),1 hrs 44 min 45 sec,WPA2,164.1
639c541a71e9d4875da0311268e50b,10.250.241.134,4ddbeceb2538206dac866482c4af59,Fri Feb 23 18:37:24 PST 2018,"Apple, Inc.",JWH-5-505C-1,802.11b/g/n,SJS-0CC-112-552-WLC-01,Campus Housing > JWH > Floor 5,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),10 min 24 sec,WPA2,3.6
639c541a71e9d4875da0311268e50b,10.250.241.134,4ddbeceb2538206dac866482c4af59,Fri Feb 23 20:47:18 PST 2018,"Apple, Inc.",JWH-6-608-H,802.11b/g/n,SJS-0CC-112-552-WLC-01,Campus Housing > JWH > 6th floor,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),36 min 35 sec,WPA2,"5,119.8"
639c541a71e9d4875da0311268e50b,10.250.241.134,4ddbeceb2538206dac866482c4af59,Sat Feb 24 00:59:42 PST 2018,"Apple, Inc.",JWH-6-608-H,802.11b/g/n,SJS-0CC-112-552-WLC-01,Campus Housing > JWH > 6th floor,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),5 min 12 sec,WPA2,<0.1
ef35be18a3b9e62109787dfcd6b381,10.250.130.122,e8600d21d5f0b5e66eadccaf5cba2b,Fri Feb 23 17:55:10 PST 2018,Intel Corporate,ENG-3-303-1,802.11a/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 3,SJSU_premier,SJSU_premier,120,802.11n(5GHz),5 min 17 sec,WPA2,3.0
ef35be18a3b9e62109787dfcd6b381,10.250.130.122,e8600d21d5f0b5e66eadccaf5cba2b,Fri Feb 23 18:00:29 PST 2018,Intel Corporate,ENG-2-200-1,802.11b/g/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 2,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),36 min 55 sec,WPA2,35.1
ef35be18a3b9e62109787dfcd6b381,10.250.130.122,e8600d21d5f0b5e66eadccaf5cba2b,Fri Feb 23 18:37:24 PST 2018,Intel Corporate,ENG-2-200-1,802.11a/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 2,SJSU_premier,SJSU_premier,120,802.11n(5GHz),46 min 59 sec,WPA2,2.4
ef35be18a3b9e62109787dfcd6b381,10.250.130.122,e8600d21d5f0b5e66eadccaf5cba2b,Sat Feb 24 11:10:51 PST 2018,Intel Corporate,KNG-6-611-2,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-1a,MLKL LIbrary > MLKL > Sixth,SJSU_premier,SJSU_premier,120,802.11n(5GHz),3 hrs 8 min 17 sec,WPA2,20.8
ef35be18a3b9e62109787dfcd6b381,10.250.130.122,e8600d21d5f0b5e66eadccaf5cba2b,Sat Feb 24 14:40:00 PST 2018,Intel Corporate,ENG-2-200-1,802.11b/g/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 2,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),47 min 14 sec,WPA2,4.8
ef35be18a3b9e62109787dfcd6b381,10.250.130.122,e8600d21d5f0b5e66eadccaf5cba2b,Sat Feb 24 15:27:16 PST 2018,Intel Corporate,ENG-2-200-1,802.11a/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 2,SJSU_premier,SJSU_premier,120,802.11n(5GHz),41 min 0 sec,WPA2,280.2
b6b555ca3bc93170a572039dd3079a,10.250.168.14,39e304ffacaad9903c4b8c7c8cd7d3,Fri Feb 23 22:21:11 PST 2018,Intel Corporate,CVB-6-606,802.11b/g/n,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CVB > Floor 6,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),2 hrs 38 min 23 sec,WPA2,"3,818.1"
41d8cd98f00b204e9800998ecf8427,10.250.170.18,2763eafdf24a01220add7b096593cd,Sat Feb 24 12:45:17 PST 2018,"Apple, Inc.",KNG-6-632-H,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-1a,MLKL LIbrary > MLKL > Sixth,King_Library_WIFI,King_Library_WIFI,120,802.11n(5GHz),2 hrs 31 min 32 sec,NOTAVAILABLE,736.0
d347de54f0c1c7182a2ca8445449a7,10.250.160.200,ca2865c38fa522df81bedbf0c99101,Fri Feb 23 17:55:10 PST 2018,Intel Corporate,BBC-G-021,802.11a/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > BBC > Floor 0,SJSU_premier,SJSU_premier,120,802.11n(5GHz),2 hrs 21 min 2 sec,WPA2,78.5
219e2add38456f892b6c02312f229b,10.250.177.86,0e05f3888891407112374e49e7ca28,Fri Feb 23 18:05:40 PST 2018,Intel Corporate,CV2-3-341-1,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CV2 > 3rd Floor,SJSU_premier,SJSU_premier,120,802.11n(5GHz),3 hrs 44 min 9 sec,WPA2,4.2
219e2add38456f892b6c02312f229b,10.250.177.86,0e05f3888891407112374e49e7ca28,Sat Feb 24 01:25:55 PST 2018,Intel Corporate,CV2-3-327-1,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CV2 > 3rd Floor,SJSU_premier,SJSU_premier,120,802.11n(5GHz),3 hrs 6 min 42 sec,WPA2,82.8
